Name|Total rule apps|Nodes|Branches|Overall time (ms)|Automode time (ms)|Closed|Time per step (ms)|Total Runtime Memory (kB)
examples/index/.././standard_key/BookExamples/02FirstOrderLogic/Ex2.58.key|5|6|1|313|145|1|29.0|46973
examples/index/.././standard_key/BookExamples/03DynamicLogic/Sect3.3.1.key|277|131|4|627|563|1|4.330769062042236|56885
examples/index/.././heap/comprehensions/general_sum.key|35|16|1|504|248|1|16.53333282470703|49299
examples/index/.././heap/comprehensions/sum0.key|629|288|6|922|809|1|2.818815231323242|62041
examples/index/.././heap/comprehensions/sum1.key|730|340|6|718|696|1|2.0530972480773926|67242
examples/index/.././heap/comprehensions/sum2.key|616|282|6|515|429|1|1.5266903638839722|70559
examples/index/.././heap/comprehensions/sum3.key|637|268|6|511|409|1|1.5318351984024048|74781
examples/index/.././heap/comprehensions/segsum.key|725|379|6|511|402|1|1.0634920597076416|79671
examples/index/.././heap/comprehensions/bsum_negative.key|14|15|1|111|10|1|0.7142857313156128|77910
examples/index/.././heap/comprehensions/bsum_neg2.key|7|8|1|110|4|1|0.5714285969734192|81747
examples/index/.././heap/comprehensions/bsumSplit.key|30|31|1|109|37|1|1.2333333492279053|86025
examples/index/.././heap/comprehensions/bprodSplit.key|33|34|1|107|20|1|0.6060606241226196|90320
examples/index/.././heap/comprehensions/bsumSplitInvalid.key|55|56|1|107|43|0|0.7818182110786438|95029
examples/index/.././performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key|2914|1034|33|3006|2701|1|2.6147143840789795|90394
examples/index/.././performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key|801|303|5|1123|1090|1|3.60927152633667|123065
examples/index/.././performance-test/AccessChain1(AccessChain1__foo_08()).JML_operation_contract.0.key|4405|2024|49|3127|3032|1|1.498764157295227|149707
examples/index/.././performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key|7776|4125|73|7237|7187|1|1.7427254915237427|169855
examples/index/.././performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key|2799|991|33|1115|1084|1|1.09494948387146|174928
examples/index/.././performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key|6719|3320|53|6355|6271|1|1.8894245624542236|197143
examples/index/.././performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key|7384|4117|71|5158|5066|1|1.230806589126587|212413
examples/index/.././performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key|3893|1600|49|2316|2299|1|1.437773585319519|223868
