Name|Total rule apps|Nodes|Branches|Overall time (ms)|Automode time (ms)|Closed|Time per step (ms)|Total Runtime Memory (kB)
examples/newBook/09.list_modelfield/ArrayList.add.key|10672|9020|68|17297|17104|1|1.896440863609314|89656
examples/newBook/09.list_modelfield/ArrayList.remFirst.key|3704|2647|44|3746|3644|1|1.3771730661392212|85705
examples/newBook/09.list_modelfield/ArrayList.empty.key|1175|959|30|920|872|1|0.9102296233177185|75162
examples/newBook/09.list_modelfield/ArrayList.size.key|577|481|14|412|357|1|0.7437499761581421|77528
examples/newBook/09.list_modelfield/ArrayList.get.key|1027|872|20|912|880|1|1.0103329420089722|82320
examples/standard_key/BookExamples/02FirstOrderLogic/Ex2.58.key|5|6|1|231|36|1|7.199999809265137|46967
examples/standard_key/BookExamples/03DynamicLogic/Sect3.3.1.key|277|131|4|534|469|1|3.607692241668701|61104
examples/heap/comprehensions/general_sum.key|35|16|1|391|290|1|19.33333396911621|49297
examples/heap/comprehensions/sum0.key|629|288|6|627|575|1|2.0034842491149902|66533
examples/heap/comprehensions/sum1.key|730|340|6|621|522|1|1.539823055267334|71733
examples/heap/comprehensions/sum2.key|617|283|6|415|313|1|1.109929084777832|75083
examples/heap/comprehensions/sum3.key|637|268|6|417|315|1|1.1797752380371094|79280
examples/heap/comprehensions/segsum.key|725|379|6|415|356|1|0.9417989253997803|84178
examples/heap/comprehensions/bsum_negative.key|14|15|1|110|8|1|0.5714285969734192|82344
examples/heap/comprehensions/bsum_neg2.key|7|8|1|109|5|1|0.7142857313156128|85855
examples/heap/comprehensions/bsumSplit.key|30|31|1|108|43|1|1.4333332777023315|90136
examples/heap/comprehensions/bprodSplit.key|33|34|1|110|16|1|0.4848484992980957|94448
examples/heap/comprehensions/bsumSplitInvalid.key|55|56|1|109|37|0|0.6727272868156433|99165
examples/performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key|2914|1034|33|2558|2340|1|2.265246868133545|90243
examples/performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key|801|303|5|934|851|1|2.817880868911743|147412
examples/performance-test/AccessChain1(AccessChain1__foo_08()).JML_operation_contract.0.key|4409|2021|49|2321|2285|1|1.131188154220581|174393
examples/performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key|7790|4125|73|5757|5680|1|1.3773036003112793|195122
examples/performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key|2799|991|33|917|892|1|0.9010100960731506|199427
examples/performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key|6771|3359|54|4686|4575|1|1.3624180555343628|221968
examples/performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key|7372|4112|71|3766|3673|1|0.8934565782546997|237292
examples/performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key|3887|1596|49|1717|1690|1|1.0595611333847046|248752
examples/performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key|5172|2580|53|2816|2719|1|1.0542845726013184|264060
examples/performance-test/Test(Test__a0(int)).JML_normal_behavior_operation_contract.0.key|58|30|3|533|327|1|11.275861740112305|81596
examples/performance-test/Test(Test__a1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|321|231|1|1.723880648612976|148690
examples/performance-test/Test(Test__f1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|214|151|1|1.1268656253814697|163538
examples/heap/polarity_tests/wellformed1.key|3|4|1|236|32|1|10.666666984558105|46864
examples/heap/polarity_tests/wellformed2.key|1|2|1|119|18|0|18.0|59749
examples/heap/polarity_tests/wellformed3.key|8|8|1|116|11|1|1.5714285373687744|57388
examples/heap/polarity_tests/wellformed4.key|6|7|2|112|14|0|2.3333332538604736|65872
examples/heap/polarity_tests/wellformed5.key|4|5|1|113|10|1|2.5|63457
examples/heap/polarity_tests/wellformed6.key|7|8|2|113|9|0|1.2857142686843872|71930
examples/heap/polarity_tests/wellformed7.key|5|6|1|114|10|1|2.0|69549
examples/heap/polarity_tests/wellformed8.key|12|13|3|111|26|0|2.1666667461395264|78051
examples/heap/polarity_tests/wellformed9.key|5|6|1|112|3|1|0.6000000238418579|75628
examples/heap/polarity_tests/wellformed10.key|12|13|3|112|13|0|1.0833333730697632|84111
examples/heap/polarity_tests/wellformed11.key|4|5|2|112|9|0|2.25|81829
examples/heap/block_contracts/Simple__add.key|346|122|6|866|636|1|5.256198406219482|53704
examples/heap/block_contracts/Simple__addAbsoluteValues.key|1479|797|26|1137|1093|1|1.3731155395507812|77874
examples/heap/block_contracts/Simple__addWithJump.key|383|120|6|214|156|1|1.3109244108200073|82436
examples/heap/block_contracts/Simple__addWithTwoBlockContracts.key|573|207|7|213|193|1|0.9368932247161865|82033
examples/heap/block_contracts/Simple__generateByteArray.key|2811|1805|54|1640|1579|1|0.8752771615982056|97478
examples/heap/block_contracts/Simple__getLength.key|64|30|3|113|19|1|0.6551724076271057|99166
examples/heap/block_contracts/Simple__square.key|837|342|9|313|293|1|0.859237551689148|94487
examples/heap/block_contracts/Simple__unnecessaryBlockContract.key|219|88|7|117|58|1|0.6666666865348816|101535
examples/heap/block_contracts/Simple__unnecessaryLoopInvariant.key|68|43|5|109|28|1|0.6666666865348816|101467
examples/standard_key/java_dl/jml-assert/assert.key|372|192|5|208|165|1|0.8638743162155151|105141
examples/standard_key/java_dl/jml-assert/assert_assume_order.key|73|38|2|108|21|1|0.5675675868988037|106858
examples/heap/block_loop_contracts/SimpleVariants/sum_onBlock_external.key|273|84|3|113|76|1|0.9156626462936401|122359
examples/heap/block_loop_contracts/SimpleVariants/sum_onBlock_internal.key|1251|376|7|615|569|1|1.5173333883285522|134730
examples/heap/block_loop_contracts/SimpleVariants/sum_onBlock_loop.key|1432|426|7|710|625|1|1.470588207244873|145851
examples/heap/block_loop_contracts/SimpleVariants/sum_onLoop_external.key|273|84|3|109|76|1|0.9156626462936401|144173
examples/heap/block_loop_contracts/SimpleVariants/sum_onLoop_internal.key|1251|376|7|609|529|1|1.4106667041778564|141602
examples/heap/block_loop_contracts/SimpleVariants/sum_onLoop_loop.key|1432|426|7|716|641|1|1.5082353353500366|158182
examples/heap/block_loop_contracts/Free/blockContracts0.key|200|88|4|108|73|1|0.8390804529190063|155811
examples/heap/block_loop_contracts/Free/blockContracts1.key|176|83|4|109|51|1|0.6219512224197388|151704
examples/heap/block_loop_contracts/Finally/block_finally.key|993|458|16|509|426|0|0.9321662783622742|150725
examples/heap/block_loop_contracts/Finally/loop_finally.key|1148|511|20|615|521|0|1.0215686559677124|158835
examples/standard_key/java_dl/jml-assert/assert.key|372|192|5|939|772|1|4.041884899139404|51513
examples/heap/block_loop_contracts/Free/assertions0.key|128|63|2|222|131|1|2.112903118133545|63444
examples/heap/block_loop_contracts/Free/assertions1.key|31|16|1|112|16|1|1.0666667222976685|75509
examples/standard_key/java_dl/jml-assert/recursion-assert.key|299|162|10|215|137|1|0.850931704044342|81905
examples/standard_key/java_dl/jml-assert/recursion-assume.key|297|160|9|211|122|1|0.7672955989837646|87592
examples/standard_key/java_dl/jml-assert/quantor-assert.key|139|96|4|110|71|1|0.7473683953285217|91617
examples/standard_key/java_dl/jml-assert/quantor-assume.key|116|75|3|110|59|1|0.7972972989082336|96064
examples/standard_key/java_dl/jml-assert/model-methods-static-static.key|45|30|4|110|14|1|0.48275861144065857|99982
examples/standard_key/java_dl/jml-assert/model-methods-instance-static.key|64|44|6|111|21|1|0.4883720874786377|104690
examples/standard_key/java_dl/jml-assert/model-methods-instance-instance.key|84|52|6|109|23|1|0.45098039507865906|109360
examples/standard_key/java_dl/jml-assert/model-methods-static-instance.key|211|117|5|109|86|1|0.7413793206214905|110422
examples/standard_key/java_dl/jml-assert/assert-old/inc-field.key|211|95|4|107|93|1|0.9893617033958435|114717
examples/standard_key/java_dl/jml-assert/assert-old/inc-parameter.key|133|69|4|108|58|1|0.8529411554336548|121947
examples/standard_key/java_dl/jml-assert/assert-old/inc-parameter-field.key|258|112|6|208|113|1|1.0180180072784424|126950
